ITEMS,DESCRIPTION,QUANTITY,UNIT PRICE,TOTAL PRICE ,URL,OTHER INFO
28BYJ48 5V DC Stepper Motor,Stepper Motor,7,$0.97,$6.70,https://robu.in/product/28byj-48-stepper-motor-dc-5v?gad_campaignid=20381096599&gad_source=1&gbraid=0AAAAADvLFWdjxFf-sSn_qjFuUL_vymn8l&gclid=CjwKCAjwqubPBhBOEiwAzgZX2tmYoTkUGJOGVZP5SiT8Amc-53MTm2nQ2meEdd9mlYTKDP5xF15ZYhoCnZgQAvD_BwE,
A4988 Stepper Motor Driver Module,Stepper Motor Module,7,$0.76,$5.34,https://quartzcomponents.com/products/a4988-stepper-motor-driver-module-with-heatsink?variant=33144864702599&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gbraid=0AAAAACPPFdOV8GAxvfn2euD3mPhHG93yA&gclid=CjwKCAjwqubPBhBOEiwAzgZX2g2fNoyaDJavUANiw3c9ee8lBTOvsmUksXMHAdjxFCEr2mdQV2a_4BoC8Q8QAvD_BwE,
KY-035 Hall Magnetic Sensor Module,Hall Sensor,7,$0.21,$1.48,https://quartzcomponents.com/products/ky003-hall-effect-magnetic-sensor?variant=39261093134520&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21214248935&gbraid=0AAAAACPPFdMCiS9qQew-I4IDpzzZB-U-M&gclid=CjwKCAjwqubPBhBOEiwAzgZX2mVa7-DyFojSK4FG2PAic08XfHUlBRDqWki_sYtP6XfpDwae5BAtoRoCq34QAvD_BwE,
ESP32-S3-Wroom-1 N16R8,Microcontroller Board,2,$10.58,$21.16,https://www.amazon.in/LAND-INDIA-ESP32-Development-Microcontroller/dp/B0FG3BBKPH?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1ZFUE0EOEP72R,
Type-C to Type-C Braided Cable,Microcontroller Cable,1,$2.19,$2.19,https://www.amazon.in/gp/product/B0FJ2LY2JN/ref=ewc_pr_img_1?smid=AJ6SIZC8YQDZX&th=1,
Neodymium Disc Magnet (8x2) mm,Neodymium Magnet,7,$4.52,$4.52,https://www.flipkart.com/jinsa-50pcs-dia-8x2mm-round-disc-neodymium-rare-earth-magents-art-crafts-multipurpose-office-magnets-pack-50/p/itm078c0c0845b31?pid=MANHYAQKZGMKKXFY&lid=LSTMANHYAQKZGMKKXFYP2QLYR&marketplace=FLIPKART&cmpid=content_magnet_8965229628_gmc,
Ball Bearings (3x8x4) mm,Ball Bearing,7,$0.31,$2.16,https://quartzcomponents.com/products/693zz-ball-bearings-miniature-carbon-steel-bearings-3mm-x-8mm-x-4-mm-deep-groove-bearing?variant=45775159230698,
,,,,,,
M3 30mm Bolts (set of 4),Bolts,4,$0.15,$0.62,https://quartzcomponents.com/products/m3-30mm-bolt-with-csk-head-mounting-screw-pack-of-4?variant=44082911477994,
M3 Hex Nuts 2mm (Set of 4),Hex Nuts,4,$0.06,$0.22,https://quartzcomponents.com/products/m3-hex-nut-with-2mm-height-pack-of-4?variant=42673973133546,
Female Headers (2 pin),Pin Headers,50,$0.08,$4.21,https://robu.in/product/fh1-27-01-02pzd-xunpu-plugin1x2-pin-1-27mm-female-headers-rohs/,
Female Headers (3 pin),Pin Headers,10,$0.08,$0.90,https://robu.in/product/fh1-0-01-03pzd-xunpu-plugin1x3-pin-1mm-female-headers-rohs/,
PCM 5102A DAC Module,DAC Module,1,$4.90,$4.90,https://ifuturetech.org/product/pcm5102a-dac-decode-i2s-audio-player-module/,
