ITEMS,DESCRIPTION,QUANTITY,UNIT PRICE,TOTAL PRICE ,URL,OTHER INFO
28BYJ48 5V DC Stepper Motor,Stepper Motor,7,$0.80,$6.00,https://quartzcomponents.com/products/28byj-48-stepper-motor?variant=31897795887239&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings&gad_source=1&gad_campaignid=20393598841&gbraid=0AAAAACPPFdPW3M09Ajh6x5rNkRBaJXhIU&gclid=CjwKCAjwg_nNBhAGEiwAiYPYAwioKDpxHD7VNzobW7qb-Wg2ttThOIBLqfOGoVK-GgWRc2vZo5l5VhoCuFgQAvD_BwE,
A4988 Stepper Motor Driver Module,Stepper Motor Module,7,$0.64,$4.52,https://quartzcomponents.com/products/a4988-stepper-motor-driver-module-with-heatsink?variant=33144864702599,
KY-035 Hall Magnetic Sensor Module,Hall Sensor,7,$0.31,$2.69,https://quartzcomponents.com/products/ky-035-hall-magnetic-sensor-module?variant=35122026905753,
ESP32-S3-Wroom-1 N16R8,Microcontroller Board,2,$15.83,$31.66,https://www.amazon.in/gp/product/B0F7499BRZ/ref=ewc_pr_img_2?smid=A3AXIINIEZD5PI&psc=1,
Type-C to Type-C Braided Cable,Microcontroller Cable,1,$2.19,$2.19,https://www.amazon.in/gp/product/B0FJ2LY2JN/ref=ewc_pr_img_1?smid=AJ6SIZC8YQDZX&th=1,
Neodymium Disc Magnet (8x2) mm,Neodymium Magnet,7,$0.13,$0.92,https://quartzcomponents.com/products/small-magnets-8mm-diamete,
Ball Bearings (3x8x4) mm,Ball Bearing,7,$0.31,$2.16,https://quartzcomponents.com/products/693zz-ball-bearings-miniature-carbon-steel-bearings-3mm-x-8mm-x-4-mm-deep-groove-bearing?variant=45775159230698,
,,,,,,
M3 30mm Bolts (set of 4),Bolts,4,$0.15,$0.62,https://quartzcomponents.com/products/m3-30mm-bolt-with-csk-head-mounting-screw-pack-of-4?variant=44082911477994,
M3 Hex Nuts 2mm (Set of 4),Hex Nuts,4,$0.06,$0.22,https://quartzcomponents.com/products/m3-hex-nut-with-2mm-height-pack-of-4?variant=42673973133546,
